L:6.000    W:2.000    H:0.050    l:0.050    tilt:0.44     thick_g:0.003    thick_p:0.001    thick_b:0.001    k_g:1.050    k_p:220.000  k_b:220.000   
c_g:660.0    c_p:890.0    c_b:890.0    rho_g:2500.0   rho_p:2700.0   rho_b:2700.0   thick_i:0.100    k_i0.040    
alpha_g:0.06     alpha_p:0.95     alpha_b:0.95     tau_g:0.84     e_g:0.90     e_p_up:0.95     e_p_down:0.95     e_b:0.95    
dx:0.10     dt:30.0    
01_07_2021  1        1.000    60.0    0.0     12.8    2.5     97840   0.0086  12.180   0.20000000 
01_07_2021  2        2.000    61.0    0.0     12.8    1.4     97840   0.0086  12.177   0.20000000 
01_07_2021  2        2.000    62.0    0.0     12.8    1.4     97840   0.0086  12.170   0.20000000 
01_07_2021  2        2.000    63.0    0.0     12.8    1.4     97840   0.0086  12.160   0.20000000 
01_07_2021  2        2.000    64.0    0.0     12.8    1.4     97840   0.0086  12.149   0.20000000 
01_07_2021  2        2.000    65.0    0.0     12.8    1.4     97840   0.0086  12.138   0.20000000 
01_07_2021  2        2.000    66.0    0.0     12.8    1.4     97840   0.0086  12.127   0.20000000 
01_07_2021  2        2.000    67.0    0.0     12.8    1.4     97840   0.0086  12.117   0.20000000 
01_07_2021  2        2.000    68.0    0.0     12.8    1.4     97840   0.0086  12.107   0.20000000 
01_07_2021  2        2.000    69.0    0.0     12.8    1.4     97840   0.0086  12.099   0.20000000 
01_07_2021  2        2.000    70.0    0.0     12.8    1.4     97840   0.0086  12.091   0.20000000 
01_07_2021  2        2.000    71.0    0.0     12.8    1.4     97840   0.0086  12.084   0.20000000 
01_07_2021  2        2.000    72.0    0.0     12.8    1.4     97840   0.0086  12.077   0.20000000 
01_07_2021  2        2.000    73.0    0.0     12.8    1.4     97840   0.0086  12.072   0.20000000 
01_07_2021  2        2.000    74.0    0.0     12.8    1.4     97840   0.0086  12.067   0.20000000 
01_07_2021  2        2.000    75.0    0.0     12.8    1.4     97840   0.0086  12.063   0.20000000 
01_07_2021  2        2.000    76.0    0.0     12.8    1.4     97840   0.0086  12.059   0.20000000 
01_07_2021  2        2.000    77.0    0.0     12.8    1.4     97840   0.0086  12.056   0.20000000 
01_07_2021  2        2.000    78.0    0.0     12.8    1.4     97840   0.0086  12.053   0.20000000 
01_07_2021  2        2.000    79.0    0.0     12.8    1.4     97840   0.0086  12.051   0.20000000 
01_07_2021  2        2.000    80.0    0.0     12.8    1.4     97840   0.0086  12.049   0.20000000 
01_07_2021  2        2.000    81.0    0.0     12.8    1.4     97840   0.0086  12.047   0.20000000 
01_07_2021  2        2.000    82.0    0.0     12.8    1.4     97840   0.0086  12.045   0.20000000 
01_07_2021  2        2.000    83.0    0.0     12.8    1.4     97840   0.0086  12.044   0.20000000 
01_07_2021  2        2.000    84.0    0.0     12.8    1.4     97840   0.0086  12.043   0.20000000 
01_07_2021  2        2.000    85.0    0.0     12.8    1.4     97840   0.0086  12.042   0.20000000 
01_07_2021  2        2.000    86.0    0.0     12.8    1.4     97840   0.0086  12.041   0.20000000 
01_07_2021  2        2.000    87.0    0.0     12.8    1.4     97840   0.0086  12.041   0.20000000 
01_07_2021  2        2.000    88.0    0.0     12.8    1.4     97840   0.0086  12.040   0.20000000 
01_07_2021  2        2.000    89.0    0.0     12.8    1.4     97840   0.0086  12.040   0.20000000 
